field_goals_attempted,field_goal_percentage,field_goal_3_attempted,field_goal_3_percentage,free_throws_made,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,points_allowed,points
84,0.488,34,0.382,19,11,30,29,3.0,2,11,118.0,114
96,0.49,37,0.459,14,14,31,24,8.0,2,12,108.0,125
85,0.447,40,0.4,15,12,30,24,10.0,1,15,120.0,107
95,0.505,43,0.488,13,10,27,27,7.0,4,9,136.0,130
89,0.551,34,0.412,16,7,38,34,6,4,5,102.0,128
89,0.551,28,0.429,20,11,33,28,4,3,7,117.0,130
89,0.472,34,0.5,27,12,41,29,11,7,19,101.0,128
92,0.478,32,0.375,19,12,40,27,5,4,11,112.0,119
92,0.467,34,0.265,19,12,41,27,6,4,15,99.0,114
96,0.469,32,0.531,10,11,33,25,5,0,8,115.0,117
93,0.452,33,0.364,21,6,43,22,5,4,11,115.0,117
80,0.525,32,0.344,30,4,33,29,10,3,17,112.0,125
91,0.429,47,0.383,21,5,30,28,22,4,18,106.0,117
90,0.389,38,0.263,23,10,40,23,11,4,17,117.0,103
70,0.514,22,0.273,23,9,29,17,7,1,14,93.4,101
87,0.402,32,0.344,24,9,34,26,3,5,14,121.0,105
85,0.553,43,0.442,27,8,39,30,6,4,14,131.0,140
91,0.495,42,0.452,18,15,32,29,9,4,12,117.0,127
85,0.459,39,0.385,21,6,29,30,6,6,18,123.0,114
83,0.41,29,0.414,19,8,32,24,3,5,19,115.0,99
75,0.6,23,0.391,12,5,33,31,9,5,18,113.0,111
87,0.391,34,0.265,15,14,34,29,8,3,16,102.0,92
87,0.563,20,0.6,21,11,27,33,10,1,13,111.0,131
86,0.442,30,0.333,26,17,30,26,10,4,19,104.0,112
93,0.473,27,0.481,21,10,33,20,12,1,19,131.0,122
89,0.449,28,0.429,23,17,25,20,9,2,17,135.0,115
95,0.411,35,0.343,18,7,31,17,7,4,11,116.0,108
85,0.4,29,0.276,12,10,31,14,6,3,17,111.0,88
79,0.392,34,0.382,25,5,45,18,3,8,16,93.0,100
84,0.452,40,0.375,35,9,30,20,12,7,13,122.0,126
104,0.481,39,0.333,21,14,28,25,10,4,9,133.0,134
98,0.469,38,0.395,27,12,36,18,9,3,8,131.0,134
91,0.473,35,0.314,27,7,34,19,8,6,10,121.0,124
90,0.489,43,0.395,12,9,32,24,5,2,11,122.0,117
92,0.467,39,0.59,16,13,26,30,7,6,9,115.0,125
